params,mean_test_score,std_test_score,dataset,norm_type,colour
"OrderedDict({'batch_size': 4, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.00827006161492832, 'optim__momentum': 0.8})",0.2378085490668272,0.0060405044925917,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 19, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.1, 'optim__momentum': 0.99})",0.2343969496287377,0.0201563387991004,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 16, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.02277425375918386, 'optim__momentum': 0.9607334120941651})",0.231587397150311,0.0110612191687904,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0021162403504012737, 'optim__momentum': 0.9468176995802443})",0.2283764800321091,0.012448775773045,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 17, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.001, 'optim__momentum': 0.8})",0.2155328115593016,0.0208728908168088,mammals,eq_hist,
"OrderedDict({'batch_size': 8, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.001, 'optim__momentum': 0.8})",0.1587397150311057,0.0007508844846024,mammals,eq_hist,
"OrderedDict({'batch_size': 8, 'epochs': 14, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 7, 'optim__lr': 0.09143501181722054, 'optim__momentum': 0.8243330446996976})",0.1505117399157134,0.0306078369042473,mammals,eq_hist,
"OrderedDict({'batch_size': 16, 'epochs': 20, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 5, 'optim__lr': 0.0036238804682453304, 'optim__momentum': 0.9614636726912662})",0.1075657234597631,0.0272824643123202,mammals,eq_hist,
"OrderedDict({'batch_size': 8, 'epochs': 11, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0030231759904297633, 'optim__momentum': 0.8252147501034124})",0.101344571543247,0.0194237264821398,mammals,eq_hist,
"OrderedDict({'batch_size': 4, 'epochs': 6, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0032151946938664545, 'optim__momentum': 0.8030221283886523})",0.0951234196267308,0.0162515511467211,mammals,eq_hist,
"OrderedDict({'batch_size': 16, 'epochs': 16, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.05165214990765796, 'optim__momentum': 0.885089980873522})",0.0842865743527995,0.0139989404186998,mammals,eq_hist,
"OrderedDict({'batch_size': 8, 'epochs': 10, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.030621015463432957, 'optim__momentum': 0.9394982107935707})",0.0720449528396548,0.0062437684872984,mammals,eq_hist,
"OrderedDict({'batch_size': 8, 'epochs': 3, 'net__channels': 3, 'net__class_heads': 20, 'net__kernel_width': 3, 'optim__lr': 0.0048334146115256845, 'optim__momentum': 0.9219941760179161})",0.0620108368452739,0.0125422436219143,mammals,eq_hist,
